corpus,ckpt,arm,seed,eval_sub,q,skew,rule,label,nominal,actual,purity,bound
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,0,0.3,0.30485,0.09594882729,0.09594882729
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,1,0.3,0.30955,1,1
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,0,0.01439759036,0.0144,0.9965277778,1
df2021,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,1,0.5856024096,0.59265,1,1
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,0,0.3,0.3254,0.08988936693,0.08988936693
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,1,0.3,0.38145,1,1
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,bbse,0,0.01703963874,0.01715,0.9941690962,1
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,bbse,1,0.5829603613,0.62345,1,1
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,symmetric,0,0.3,0.35665,0.08173279125,0.08201317819
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,symmetric,1,0.3,0.361,0.9998614958,1
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse,0,0.01172452408,0.01175,0.9872340426,1
df2021,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse,1,0.5882754759,0.63595,0.9998427549,1
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,0,0.3,0.3,0.993,1
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,symmetric,1,0.3,0.3013,0.947892466,1
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,0,0.1931325301,0.19335,0.9971554176,1
itw,deepfense_w2v2_aasist_s240,source,0,0,0.3,0,bbse,1,0.4068674699,0.40725,0.8462860651,0.9108655617
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,0,0.3,0.30045,0.9936761524,1
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,symmetric,1,0.3,0.30065,0.9472808914,1
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,bbse,0,0.3321826392,0.3331,0.9923446412,1
itw,deepfense_w2v2_aasist_s2,source,0,0,0.3,0,bbse,1,0.2678173608,0.2692,0.9617384844,1
itw,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,symmetric,0,0.3,0.30335,0.9522004285,1
itw,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,symmetric,1,0.3,0.3036,0.9025032938,1
itw,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse,0,0.01259798432,0.0126,0.996031746,1
itw,deepfense_w2v2_aasist_s42,source,0,0,0.3,0,bbse,1,0.5874020157,0.5912,0.5794147497,0.6274526387
itw,ssl_aasist_wavefake,source,0,0,0.3,0,symmetric,0,0.3,0.30015,0.9993336665,1
itw,ssl_aasist_wavefake,source,0,0,0.3,0,symmetric,1,0.3,0.30145,0.9591972135,1
itw,ssl_aasist_wavefake,source,0,0,0.3,0,bbse,0,0.2399083036,0.24025,0.9997918835,1
itw,ssl_aasist_wavefake,source,0,0,0.3,0,bbse,1,0.3600916964,0.36065,0.9401081381,1
