corpus,ckpt,arm,seed,eval_sub,q,skew,setting,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s240,eta,0,0,0.3,0,available_pool,400435,0.9721902431,38.30438701,31.04552294,0.689555006,97.21902431,50,100,0,98.26089128,1.04186697,0.5,98.93266073,99.83692734,98.93266073,140
df2021,deepfense_w2v2_aasist_s240,eta,0,0,0.3,0,disjoint_eval,380435,0.9722659587,38.38053125,31.14558185,0.6885542917,97.22659587,50,100,0,98.26041242,1.033816552,0.5,98.94147489,99.84018295,98.94147489,138
df2021,deepfense_w2v2_aasist_s240,ours_bbse,0,0,0.3,0,available_pool,400435,0.9721902431,3.803145569,3.801628846,0.9933354121,98.7426174,77.65919127,44.66594828,0.01566919001,99.17065192,0.4280345125,0.5,0,51.00228502,16.02282518,1738
df2021,deepfense_w2v2_aasist_s240,ours_bbse,0,0,0.3,0,disjoint_eval,380435,0.9722659587,3.832984866,3.827445861,0.9932637295,98.74222929,77.59143939,44.80144062,0.01568059175,99.17331476,0.431085468,0.5,0,51.02737656,16.01692799,1696
df2021,deepfense_w2v2_aasist_s240,ours_bbse,1,50000,0.3,0,available_pool,50000,0.9723,3.82935469,3.84085003,0.993491639,98.92,81.48744779,36.96750903,0.05759539237,99.12,0.2,0.5,0,28.972,11.734,770
df2021,deepfense_w2v2_aasist_s240,ours_bbse,1,50000,0.3,0,disjoint_eval,30000,0.9719333333,3.570068875,3.570004133,0.9934667523,98.92333333,81.62682422,36.69833729,0.0480142671,99.13666667,0.2133333333,0.5,0,28.93666667,11.66666667,613
df2021,deepfense_w2v2_aasist_s240,ours_bbse,2,50000,0.3,0,available_pool,50000,0.9723,4.018783444,4.023100535,0.9926457976,98.65,75.87727711,48.23104693,0.01439884809,99.116,0.466,0.5,0,63.502,15.286,700
df2021,deepfense_w2v2_aasist_s240,ours_bbse,2,50000,0.3,0,disjoint_eval,30000,0.9720333333,4.126573665,4.205966146,0.9916993238,98.54,74.07113743,51.84743743,0.01028771304,99.1,0.56,0.5,0,63.36,15.4,549
df2021,deepfense_w2v2_aasist_s240,ours_fixed,0,0,0.3,0,available_pool,400435,0.9721902431,4.65971498,4.65998048,0.99178876,65.2388028,82.11786331,0.008979885057,35.75529349,98.91592893,33.67712613,0.5,0,0,0.1875460437,12001
df2021,deepfense_w2v2_aasist_s240,ours_fixed,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.657946296,4.665387703,0.9917660094,65.26765413,82.13385051,0.009477774619,35.72282121,98.91624062,33.64858649,0.5,0,0,0.1855770368,11776
