corpus,ckpt,q,real_purity,fake_purity,worst
DF,s240,0.01,0.998,1.0,0.998
DF,s240,0.02,0.96,1.0,0.96
DF,s240,0.05,0.522,1.0,0.522
DF,s240,0.1,0.272,1.0,0.272
DF,s240,0.2,0.137,1.0,0.137
DF,s240,0.3,0.092,1.0,0.092
DF,s2,0.01,0.998,1.0,0.998
DF,s2,0.02,0.959,1.0,0.959
DF,s2,0.05,0.504,1.0,0.504
DF,s2,0.1,0.27,1.0,0.27
DF,s2,0.2,0.127,1.0,0.127
DF,s2,0.3,0.087,1.0,0.087
DF,s42,0.01,0.995,1.0,0.995
DF,s42,0.02,0.956,1.0,0.956
DF,s42,0.05,0.502,1.0,0.502
DF,s42,0.1,0.268,1.0,0.268
DF,s42,0.2,0.123,1.0,0.123
DF,s42,0.3,0.078,1.0,0.078
ITW,s240,0.01,1.0,0.979,0.979
ITW,s240,0.02,1.0,0.986,0.986
ITW,s240,0.05,0.999,0.986,0.986
ITW,s240,0.1,0.999,0.981,0.981
ITW,s240,0.2,0.997,0.973,0.973
ITW,s240,0.3,0.993,0.947,0.947
ITW,s2,0.01,1.0,0.974,0.974
ITW,s2,0.02,1.0,0.972,0.972
ITW,s2,0.05,0.998,0.977,0.977
ITW,s2,0.1,0.998,0.978,0.978
ITW,s2,0.2,0.997,0.975,0.975
ITW,s2,0.3,0.994,0.945,0.945
ITW,s42,0.01,0.991,0.995,0.991
ITW,s42,0.02,0.994,0.993,0.993
ITW,s42,0.05,0.977,0.992,0.977
ITW,s42,0.1,0.971,0.99,0.971
ITW,s42,0.2,0.965,0.979,0.965
ITW,s42,0.3,0.953,0.9,0.9
ITW,ssl_aasist_wavefake,0.01,1.0,0.997,0.997
ITW,ssl_aasist_wavefake,0.02,1.0,0.997,0.997
ITW,ssl_aasist_wavefake,0.05,1.0,0.993,0.993
ITW,ssl_aasist_wavefake,0.1,1.0,0.987,0.987
ITW,ssl_aasist_wavefake,0.2,1.0,0.98,0.98
ITW,ssl_aasist_wavefake,0.3,0.999,0.961,0.961
