ckpt,arm,rho_src,tau_b,largest_tie,pred_rate,prior_gap,auc,d_auc,eer,d_eer,acc,d_acc
deepfense_w2v2_aasist_s2,eta,0.312,0.2636,0.9665,0.9807,0.0067,0.9288,-0.0635,7.444,-2.934,98.93,0.06
deepfense_w2v2_aasist_s2,tent,0.4381,0.373,0.9302,0.9868,0.0128,0.9765,-0.0158,4.062,0.449,98.52,-0.35
deepfense_w2v2_aasist_s2,shot,0.7671,0.6075,0.0246,0.7492,0.2248,0.9725,-0.0198,6.375,-1.865,77.64,-21.23
deepfense_w2v2_aasist_s2,ours_fixed,0.816,0.6523,0.0026,0.6019,0.3721,0.9846,-0.0077,5.836,-1.326,62.96,-35.91
deepfense_w2v2_aasist_s2,ours_bbse,0.8665,0.7586,0.2664,0.9813,0.0073,0.9931,0.0008,4.02,0.49,98.95,0.08
deepfense_w2v2_aasist_s2,sar,0.9699,0.9043,0.0956,0.974,0.0,0.9923,0.0,4.472,0.039,98.88,0.02
deepfense_w2v2_aasist_s2,source,1.0,1.0,0.0982,0.9736,0.0004,0.9923,0.0,4.51,0.0,98.87,0.0
deepfense_w2v2_aasist_s42,ours_fixed,0.6021,0.4503,0.0025,0.5902,0.392,0.9922,0.0003,4.08,0.48,61.8,-36.98
deepfense_w2v2_aasist_s42,ours_bbse,0.8279,0.691,0.1859,0.9814,0.0007,0.9958,0.0039,3.29,1.27,98.98,0.21
deepfense_w2v2_aasist_s42,source,1.0,1.0,0.101,0.984,0.0019,0.9919,0.0,4.56,0.0,98.78,0.0
