seed,target,method,eer,auc,acc,minutes,smoke
0,asvspoof2019,asdg,5.394,0.9885,81.88,7.1,False
0,dataset2,asdg,33.98,0.7339,68.81,7.1,False
0,in_the_wild,asdg,13.9,0.9312,84.05,7.2,False
0,arabic,asdg,21.562,0.8751,70.74,7.2,False
1,asvspoof2019,asdg,4.229,0.9893,91.18,7.2,False
1,dataset2,asdg,35.282,0.7241,67.98,7.1,False
1,in_the_wild,asdg,19.783,0.879,81.7,7.2,False
1,arabic,asdg,22.262,0.8557,65.57,7.2,False
2,asvspoof2019,asdg,3.727,0.9917,94.87,7.2,False
2,dataset2,asdg,34.112,0.706,65.75,7.1,False
2,in_the_wild,asdg,28.05,0.7722,76.45,7.2,False
2,arabic,asdg,22.748,0.8453,76.19,7.2,False
3,asvspoof2019,asdg,5.18,0.9828,93.57,8.6,False
3,dataset2,asdg,31.524,0.7605,58.42,8.5,False
3,in_the_wild,asdg,14.7,0.9117,84.35,9.1,False
3,arabic,asdg,36.374,0.6891,62.33,8.6,False
4,asvspoof2019,asdg,4.121,0.9899,93.58,8.6,False
4,dataset2,asdg,32.988,0.745,68.79,8.5,False
4,in_the_wild,asdg,15.7,0.9049,83.33,8.7,False
4,arabic,asdg,28.383,0.7765,68.9,8.6,False
5,asvspoof2019,asdg,6.864,0.98,89.52,8.6,False
5,dataset2,asdg,32.629,0.7524,63.12,8.5,False
5,in_the_wild,asdg,15.283,0.9083,83.93,8.6,False
5,arabic,asdg,29.586,0.776,70.75,8.6,False
6,asvspoof2019,asdg,3.1,0.9894,94.68,8.6,False
6,dataset2,asdg,31.389,0.7715,62.87,8.5,False
6,in_the_wild,asdg,19.117,0.8729,79.37,8.6,False
6,arabic,asdg,27.488,0.8071,65.13,8.6,False
7,asvspoof2019,asdg,5.843,0.9875,92.72,8.6,False
7,dataset2,asdg,32.883,0.7506,65.8,8.5,False
7,in_the_wild,asdg,16.567,0.9022,80.72,8.6,False
7,arabic,asdg,28.172,0.8015,67.15,8.6,False
8,asvspoof2019,asdg,5.735,0.9844,81.49,8.6,False
8,dataset2,asdg,31.458,0.7677,59.14,8.5,False
8,in_the_wild,asdg,13.667,0.9315,83.37,8.6,False
8,arabic,asdg,28.691,0.7806,71.4,8.6,False
9,asvspoof2019,asdg,5.593,0.9849,89.62,8.6,False
9,dataset2,asdg,30.2,0.7786,64.61,8.5,False
9,in_the_wild,asdg,16.517,0.8965,82.6,8.6,False
9,arabic,asdg,28.797,0.7757,71.13,8.6,False
