part,seed,target,method,eer,auc,acc,minutes
dann,0,arabic,dann,28.291,0.7483,60.27,30.1
dann,0,asvspoof2019,dann,3.231,0.9948,94.93,30.0
dann,0,dataset2,dann,33.315,0.7419,60.56,29.9
dann,0,in_the_wild,dann,12.333,0.9548,85.08,30.1
dann,1,arabic,dann,31.619,0.6983,57.0,30.1
dann,1,asvspoof2019,dann,10.429,0.9609,58.06,30.0
dann,1,dataset2,dann,35.599,0.7103,64.43,29.9
dann,1,in_the_wild,dann,9.217,0.9728,89.73,30.1
dann,2,arabic,dann,28.611,0.7241,59.66,30.0
dann,2,asvspoof2019,dann,6.165,0.9858,84.78,30.0
dann,2,dataset2,dann,35.523,0.72,65.12,29.9
dann,2,in_the_wild,dann,14.3,0.8665,82.5,30.1
dann,3,arabic,dann,36.022,0.6999,56.89,15.9
dann,3,asvspoof2019,dann,6.323,0.9833,83.71,15.9
dann,3,dataset2,dann,33.398,0.703,66.29,15.8
dann,3,in_the_wild,dann,16.65,0.9156,79.7,15.9
dann,4,arabic,dann,25.729,0.8045,73.03,15.9
dann,4,asvspoof2019,dann,14.85,0.9272,58.94,15.9
dann,4,dataset2,dann,35.653,0.6909,53.41,15.8
dann,4,in_the_wild,dann,7.033,0.9823,84.32,15.9
dann,5,arabic,dann,22.717,0.8473,65.94,15.9
dann,5,asvspoof2019,dann,14.795,0.8542,75.59,15.9
dann,5,dataset2,dann,37.357,0.6927,62.94,15.8
dann,5,in_the_wild,dann,13.233,0.942,81.98,15.9
dann,6,arabic,dann,32.369,0.6786,67.02,15.9
dann,6,asvspoof2019,dann,4.44,0.9856,95.34,15.9
dann,6,dataset2,dann,32.831,0.7053,67.21,15.8
dann,6,in_the_wild,dann,14.117,0.9154,82.78,15.9
dann,7,arabic,dann,22.112,0.8103,73.25,15.9
dann,7,asvspoof2019,dann,5.028,0.9862,94.3,15.9
dann,7,dataset2,dann,34.9,0.7131,53.79,15.8
dann,7,in_the_wild,dann,9.817,0.9629,84.75,15.9
dann,8,arabic,dann,29.552,0.7793,56.73,15.9
dann,8,asvspoof2019,dann,4.124,0.992,91.45,15.9
dann,8,dataset2,dann,33.577,0.7392,63.95,15.8
dann,8,in_the_wild,dann,8.0,0.9511,88.98,15.9
dann,9,arabic,dann,28.316,0.7956,66.5,15.9
dann,9,asvspoof2019,dann,4.113,0.9916,93.57,15.9
dann,9,dataset2,dann,32.152,0.7537,67.82,15.8
dann,9,in_the_wild,dann,28.75,0.7747,65.18,15.9
